Gene_symbol	current_dataset	previous_dataset
LOC102724719	NA	TARGET
LOC102723883	NA	TARGET
LOC100505716	NA	TARGET
LOC646588	NA	TARGET
RPL34P7	NA	TARGET
RPL17P9	NA	TARGET
LOC100421787	NA	TARGET
LOC101928012	NA	TARGET
LOC643172	NA	TARGET
LOC100289350	NA	TARGET
RPL15P11	NA	TARGET
LOC391092	NA	TARGET
RPL6P28	NA	TARGET
HSP90AB5P	NA	TARGET
LOC100419642	NA	TARGET
LOC100420247	NA	TARGET
LOC101928516	NA	TARGET
LOC105375267	NA	TARGET
RPS10P6	NA	TARGET
LOC101929452	NA	TARGET
LOC100131785	NA	TARGET
LOC100418965	NA	TARGET
RPL18AP9	NA	TARGET
RPS21P5	NA	TARGET
LOC392027	NA	TARGET
DDX11L2	NA	TARGET
LOC112268410	NA	TARGET
RPL36AP46	NA	TARGET
LOC347097	NA	TARGET
LOC101927420	NA	TARGET
LOC100129175	NA	TARGET
LOC401127	NA	TARGET
RPS14P1	NA	TARGET
LOC392787	NA	TARGET
LOC105376453	NA	TARGET
LOC100421692	NA	TARGET
LOC284930	NA	TARGET
LOC100421343	NA	TARGET
LOC317727	NA	TARGET
RPL9P17	NA	TARGET
LOC101927635	NA	TARGET
LOC100133316	NA	TARGET
LOC105378328	NA	TARGET
LOC101929331	NA	TARGET
RPL21P21	NA	TARGET
RPL36P6	NA	TARGET
LOC100533848	NA	TARGET
RPL18P5	NA	TARGET
RPL7AP40	NA	TARGET
LOC101929662	NA	TARGET
LOC107985246	NA	TARGET
RPL31P36	NA	TARGET
LOC100419154	NA	TARGET
LOC391636	NA	TARGET
RPL21P72	NA	TARGET
RPLP1P3	NA	TARGET
HSD52	NA	TARGET
LOC101928436	NA	TARGET
LOC149935	NA	TARGET
GAGE2E	NA	TARGET
LOC100144595	NA	TARGET
LOC339685	NA	TARGET
LOC102724153	NA	TARGET
SRRM1P1	NA	TARGET
LOC100419691	NA	TARGET
LOC442517	NA	TARGET
RPL37P17	NA	TARGET
LOC101928782	NA	TARGET
LOC728307	NA	TARGET
LOC100420057	NA	TARGET
LOC102723566	NA	TARGET
