sample	caller
BS_AGAW7M7W	gatk
BS_AGD2ATY1	cnvkit
BS_AGD2ATY1	gatk
BS_AGGH3QGS	gatk
BS_AHAXPFG3	gatk
BS_AHT9PKVE	cnvkit
BS_AHT9PKVE	freec
BS_AHT9PKVE	gatk
BS_AJ0T7DJ7	gatk
BS_AJAH8KG5	gatk
BS_AJFG2QDD	gatk
BS_AK9BV52G	cnvkit
BS_AK9BV52G	gatk
BS_AM2TZPNS	cnvkit
BS_AM2TZPNS	gatk
BS_APAQ2X2S	gatk
BS_APY3G22J	gatk
BS_AQECMDPP	gatk
BS_AQMKA8NC	gatk
BS_AQQY8HMR	gatk
BS_AR2BH0Z4	gatk
BS_ARE4EM81	gatk
BS_ASXY97FK	freec
BS_ASXY97FK	gatk
BS_AVS4DSZW	cnvkit
BS_AVS4DSZW	gatk
BS_AWDQEKK1	cnvkit
BS_AWDQEKK1	gatk
BS_AWV1EDYB	gatk
BS_AXM96K20	gatk
BS_AXW0XBH8	gatk
BS_AYPBAHJ6	freec
BS_AYPBAHJ6	gatk
BS_AZ6KVKC4	gatk
BS_B19AWBBW	gatk
BS_B1X2SB4P	gatk
BS_B2RYV4GG	gatk
BS_B3RH9V17	freec
BS_B3RH9V17	gatk
BS_B4DY7ET3	gatk
BS_B4GBBM0J	freec
BS_B4GBBM0J	gatk
BS_B4P1NP87	gatk
BS_B4PPG3X5	cnvkit
BS_B4PPG3X5	gatk
BS_B558FJXC	gatk
BS_B5MDTA3Q	gatk
BS_B5Z2XV03	gatk
BS_B6E0477K	gatk
BS_B6K0N6HS	gatk
BS_B6KCJF2B	gatk
BS_B73JK7T1	gatk
BS_B80Z459E	freec
BS_B80Z459E	gatk
BS_B91XGSA5	freec
BS_B91XGSA5	gatk
BS_B94G701Q	gatk
BS_B95NMCYN	gatk
BS_B9QP40ER	gatk
BS_BA0M71QZ	gatk
BS_BAVWP5JG	freec
BS_BAVWP5JG	gatk
BS_BBCM52QE	gatk
BS_BBHFKBE7	gatk
BS_BBK329W5	gatk
BS_BBTT7DH4	gatk
BS_BD4RQ1G0	gatk
BS_BF83XX7P	gatk
BS_BFDEZK1C	gatk
BS_BHKAK446	gatk
BS_BJCTR4C8	gatk
BS_BM95DGCQ	freec
BS_BM95DGCQ	gatk
BS_BMHYK93N	gatk
BS_BNFCXVYZ	gatk
BS_BPXHZ3Y0	gatk
BS_BQ81D2BP	gatk
BS_BQWMQM2Y	gatk
BS_BR1X3R68	freec
BS_BR1X3R68	gatk
BS_BS5X4H0Y	gatk
